[{'X': 0.8348871469497681, 'Y': 0.8109266757965088, 'Z': -0.00010845094948308542}, {'X': 0.755815863609314, 'Y': 0.7652427554130554, 'Z': 0.00232227286323905}, {'X': 0.7178778648376465, 'Y': 0.670122504234314, 'Z': 0.019926508888602257}, {'X': 0.7084882259368896, 'Y': 0.583326518535614, 'Z': 0.029751315712928772}, {'X': 0.6930516958236694, 'Y': 0.5240272283554077, 'Z': 0.042357541620731354}, {'X': 0.7624245285987854, 'Y': 0.5742385387420654, 'Z': 0.05359085276722908}, {'X': 0.7538015842437744, 'Y': 0.46963316202163696, 'Z': 0.05131750553846359}, {'X': 0.7499974966049194, 'Y': 0.4058014750480652, 'Z': 0.043671876192092896}, {'X': 0.7481862902641296, 'Y': 0.348124623298645, 'Z': 0.034611720591783524}, {'X': 0.8045079112052917, 'Y': 0.5614685416221619, 'Z': 0.036779217422008514}, {'X': 0.796552836894989, 'Y': 0.4461444914340973, 'Z': 0.03658108785748482}, {'X': 0.7943096160888672, 'Y': 0.3745845556259155, 'Z': 0.012376152910292149}, {'X': 0.7925571799278259, 'Y': 0.31470683217048645, 'Z': -0.008294297382235527}, {'X': 0.8461358547210693, 'Y': 0.5697385668754578, 'Z': 0.014695912599563599}, {'X': 0.839665412902832, 'Y': 0.4627456068992615, 'Z': 0.012113966979086399}, {'X': 0.8354504108428955, 'Y': 0.3957834243774414, 'Z': -0.009058489464223385}, {'X': 0.8321334719657898, 'Y': 0.3404165208339691, 'Z': -0.026597434654831886}, {'X': 0.8902271389961243, 'Y': 0.5965524315834045, 'Z': -0.007721457164734602}, {'X': 0.8887495398521423, 'Y': 0.5075196623802185, 'Z': -0.017716361209750175}, {'X': 0.8847829103469849, 'Y': 0.45150747895240784, 'Z': -0.03627266734838486}, {'X': 0.8787855505943298, 'Y': 0.3999331593513489, 'Z': -0.0511266253888607}]
[{'X': 0.8321722745895386, 'Y': 0.7928273677825928, 'Z': -9.558549209032208e-05}, {'X': 0.7648264765739441, 'Y': 0.7436123490333557, 'Z': 0.007862312719225883}, {'X': 0.7344911694526672, 'Y': 0.641956627368927, 'Z': 0.016421280801296234}, {'X': 0.7286392450332642, 'Y': 0.5562433004379272, 'Z': 0.013566684909164906}, {'X': 0.73097825050354, 'Y': 0.4992388188838959, 'Z': 0.012579640373587608}, {'X': 0.776455819606781, 'Y': 0.5640156269073486, 'Z': 0.061558619141578674}, {'X': 0.7798064351081848, 'Y': 0.4763811230659485, 'Z': 0.04501546919345856}, {'X': 0.7808933258056641, 'Y': 0.4568527340888977, 'Z': 0.016939403489232063}, {'X': 0.7827383875846863, 'Y': 0.4574505388736725, 'Z': -0.0054736752063035965}, {'X': 0.8109055757522583, 'Y': 0.5538881421089172, 'Z': 0.034669142216444016}, {'X': 0.8149452805519104, 'Y': 0.44733017683029175, 'Z': 0.035062894225120544}, {'X': 0.8107699155807495, 'Y': 0.39565509557724, 'Z': 0.008941971696913242}, {'X': 0.806019127368927, 'Y': 0.3574049174785614, 'Z': -0.013978478498756886}, {'X': 0.847521960735321, 'Y': 0.5646193623542786, 'Z': 0.0002595179539639503}, {'X': 0.8522093296051025, 'Y': 0.4576362371444702, 'Z': -0.00413794768974185}, {'X': 0.8495177030563354, 'Y': 0.39602014422416687, 'Z': -0.02775934711098671}, {'X': 0.844598114490509, 'Y': 0.3408152461051941, 'Z': -0.052028555423021317}, {'X': 0.8871011734008789, 'Y': 0.5952891111373901, 'Z': -0.03481055796146393}, {'X': 0.8922575116157532, 'Y': 0.5052793025970459, 'Z': -0.04226294159889221}, {'X': 0.8925741314888, 'Y': 0.4494391679763794, 'Z': -0.05485175549983978}, {'X': 0.8897145986557007, 'Y': 0.39009344577789307, 'Z': -0.07249448448419571}]
[{'X': 0.8321722745895386, 'Y': 0.7928273677825928, 'Z': -9.558549209032208e-05}, {'X': 0.7648264765739441, 'Y': 0.7436123490333557, 'Z': 0.007862312719225883}, {'X': 0.7344911694526672, 'Y': 0.641956627368927, 'Z': 0.016421280801296234}, {'X': 0.7286392450332642, 'Y': 0.5562433004379272, 'Z': 0.013566684909164906}, {'X': 0.73097825050354, 'Y': 0.4992388188838959, 'Z': 0.012579640373587608}, {'X': 0.776455819606781, 'Y': 0.5640156269073486, 'Z': 0.061558619141578674}, {'X': 0.7798064351081848, 'Y': 0.4763811230659485, 'Z': 0.04501546919345856}, {'X': 0.7808933258056641, 'Y': 0.4568527340888977, 'Z': 0.016939403489232063}, {'X': 0.7827383875846863, 'Y': 0.4574505388736725, 'Z': -0.0054736752063035965}, {'X': 0.8109055757522583, 'Y': 0.5538881421089172, 'Z': 0.034669142216444016}, {'X': 0.8149452805519104, 'Y': 0.44733017683029175, 'Z': 0.035062894225120544}, {'X': 0.8107699155807495, 'Y': 0.39565509557724, 'Z': 0.008941971696913242}, {'X': 0.806019127368927, 'Y': 0.3574049174785614, 'Z': -0.013978478498756886}, {'X': 0.847521960735321, 'Y': 0.5646193623542786, 'Z': 0.0002595179539639503}, {'X': 0.8522093296051025, 'Y': 0.4576362371444702, 'Z': -0.00413794768974185}, {'X': 0.8495177030563354, 'Y': 0.39602014422416687, 'Z': -0.02775934711098671}, {'X': 0.844598114490509, 'Y': 0.3408152461051941, 'Z': -0.052028555423021317}, {'X': 0.8871011734008789, 'Y': 0.5952891111373901, 'Z': -0.03481055796146393}, {'X': 0.8922575116157532, 'Y': 0.5052793025970459, 'Z': -0.04226294159889221}, {'X': 0.8925741314888, 'Y': 0.4494391679763794, 'Z': -0.05485175549983978}, {'X': 0.8897145986557007, 'Y': 0.39009344577789307, 'Z': -0.07249448448419571}]
[{'X': 0.8323343396186829, 'Y': 0.7944777607917786, 'Z': -6.058015060261823e-05}, {'X': 0.766149640083313, 'Y': 0.739547848701477, 'Z': 0.004744932521134615}, {'X': 0.7327266335487366, 'Y': 0.6368607878684998, 'Z': 0.015418109484016895}, {'X': 0.7283382415771484, 'Y': 0.5466307997703552, 'Z': 0.013314825482666492}, {'X': 0.7374778389930725, 'Y': 0.4937571883201599, 'Z': 0.01428744662553072}, {'X': 0.7823809385299683, 'Y': 0.5642914772033691, 'Z': 0.07041127234697342}, {'X': 0.788444995880127, 'Y': 0.4683924615383148, 'Z': 0.06793121993541718}, {'X': 0.7916189432144165, 'Y': 0.42718493938446045, 'Z': 0.05371604487299919}, {'X': 0.7937117218971252, 'Y': 0.39837414026260376, 'Z': 0.03940106928348541}, {'X': 0.8182257413864136, 'Y': 0.5561277270317078, 'Z': 0.04457037150859833}, {'X': 0.8218680620193481, 'Y': 0.44682779908180237, 'Z': 0.045303747057914734}, {'X': 0.8177279829978943, 'Y': 0.3964143991470337, 'Z': 0.018400106579065323}, {'X': 0.814712643623352, 'Y': 0.35561153292655945, 'Z': -0.005366883240640163}, {'X': 0.8542211055755615, 'Y': 0.5664729475975037, 'Z': 0.01167659368366003}, {'X': 0.8567203283309937, 'Y': 0.46080726385116577, 'Z': 0.00752986129373312}, {'X': 0.8512285947799683, 'Y': 0.4062432050704956, 'Z': -0.019143249839544296}, {'X': 0.845429539680481, 'Y': 0.3576483726501465, 'Z': -0.04516541585326195}, {'X': 0.8921013474464417, 'Y': 0.5959242582321167, 'Z': -0.02130415476858616}, {'X': 0.8945526480674744, 'Y': 0.5099070072174072, 'Z': -0.02946002595126629}, {'X': 0.8937420845031738, 'Y': 0.4544066786766052, 'Z': -0.046775251626968384}, {'X': 0.8907338380813599, 'Y': 0.3968178629875183, 'Z': -0.06691379845142365}]
[{'X': 0.8334925174713135, 'Y': 0.7888919115066528, 'Z': -7.020084012765437e-05}, {'X': 0.7727963328361511, 'Y': 0.73323655128479, 'Z': 0.01361052319407463}, {'X': 0.7336797714233398, 'Y': 0.6317988634109497, 'Z': 0.02035183645784855}, {'X': 0.7250034809112549, 'Y': 0.5483973026275635, 'Z': 0.011200432665646076}, {'X': 0.740421712398529, 'Y': 0.4950655698776245, 'Z': 0.0022612528409808874}, {'X': 0.7809239029884338, 'Y': 0.5682649612426758, 'Z': 0.06945556402206421}, {'X': 0.7732011675834656, 'Y': 0.49646833539009094, 'Z': 0.04017864167690277}, {'X': 0.7677697539329529, 'Y': 0.515092134475708, 'Z': 0.00445514777675271}, {'X': 0.7694387435913086, 'Y': 0.5425078868865967, 'Z': -0.014572756364941597}, {'X': 0.8152656555175781, 'Y': 0.5579892992973328, 'Z': 0.037292107939720154}, {'X': 0.813696563243866, 'Y': 0.4501529932022095, 'Z': 0.03975387662649155}, {'X': 0.8078821897506714, 'Y': 0.39924341440200806, 'Z': 0.016688531264662743}, {'X': 0.8033217191696167, 'Y': 0.3617052435874939, 'Z': -0.0017884279368445277}, {'X': 0.8524867296218872, 'Y': 0.5687767863273621, 'Z': -0.0024007116444408894}, {'X': 0.8537288904190063, 'Y': 0.4599493145942688, 'Z': -0.004126039333641529}, {'X': 0.8477192521095276, 'Y': 0.4019065499305725, 'Z': -0.024070626124739647}, {'X': 0.8415349125862122, 'Y': 0.3504602313041687, 'Z': -0.043371472507715225}, {'X': 0.8912458419799805, 'Y': 0.5993932485580444, 'Z': -0.041887689381837845}, {'X': 0.8985500335693359, 'Y': 0.5121894478797913, 'Z': -0.04276197403669357}, {'X': 0.897102952003479, 'Y': 0.4574904441833496, 'Z': -0.04793103039264679}, {'X': 0.8923379182815552, 'Y': 0.40080952644348145, 'Z': -0.05729356035590172}]
[{'X': 0.8360306620597839, 'Y': 0.8092389702796936, 'Z': -0.0001357280125375837}, {'X': 0.7726560235023499, 'Y': 0.7509903311729431, 'Z': 0.009765559807419777}, {'X': 0.7253743410110474, 'Y': 0.6512650847434998, 'Z': 0.010561179369688034}, {'X': 0.7104964852333069, 'Y': 0.5629981756210327, 'Z': -0.0015541909961029887}, {'X': 0.7311763167381287, 'Y': 0.5034304857254028, 'Z': -0.0055044968612492085}, {'X': 0.7785678505897522, 'Y': 0.5833747386932373, 'Z': 0.05069343373179436}, {'X': 0.7643179893493652, 'Y': 0.5198476910591125, 'Z': 0.005069517996162176}, {'X': 0.7620949745178223, 'Y': 0.5640028715133667, 'Z': -0.03416851907968521}, {'X': 0.7687669992446899, 'Y': 0.6001886129379272, 'Z': -0.05015101656317711}, {'X': 0.8159142732620239, 'Y': 0.5675638318061829, 'Z': 0.018971584737300873}, {'X': 0.809773862361908, 'Y': 0.4612100124359131, 'Z': 0.011355196125805378}, {'X': 0.8014090657234192, 'Y': 0.40888357162475586, 'Z': -0.008197108283638954}, {'X': 0.7965172529220581, 'Y': 0.36048275232315063, 'Z': -0.022730864584445953}, {'X': 0.8564311861991882, 'Y': 0.5742826461791992, 'Z': -0.020610608160495758}, {'X': 0.8489967584609985, 'Y': 0.4632563292980194, 'Z': -0.03311343118548393}, {'X': 0.8364280462265015, 'Y': 0.4062996506690979, 'Z': -0.0431278757750988}, {'X': 0.8275360465049744, 'Y': 0.35469943284988403, 'Z': -0.04966442286968231}, {'X': 0.8988189697265625, 'Y': 0.601412296295166, 'Z': -0.061386946588754654}, {'X': 0.8964526057243347, 'Y': 0.5078092217445374, 'Z': -0.06371171772480011}, {'X': 0.8885066509246826, 'Y': 0.4557316303253174, 'Z': -0.06028042361140251}, {'X': 0.8800562024116516, 'Y': 0.40304213762283325, 'Z': -0.05746343731880188}]
[{'X': 0.8360306620597839, 'Y': 0.8092389702796936, 'Z': -0.0001357280125375837}, {'X': 0.7726560235023499, 'Y': 0.7509903311729431, 'Z': 0.009765559807419777}, {'X': 0.7253743410110474, 'Y': 0.6512650847434998, 'Z': 0.010561179369688034}, {'X': 0.7104964852333069, 'Y': 0.5629981756210327, 'Z': -0.0015541909961029887}, {'X': 0.7311763167381287, 'Y': 0.5034304857254028, 'Z': -0.0055044968612492085}, {'X': 0.7785678505897522, 'Y': 0.5833747386932373, 'Z': 0.05069343373179436}, {'X': 0.7643179893493652, 'Y': 0.5198476910591125, 'Z': 0.005069517996162176}, {'X': 0.7620949745178223, 'Y': 0.5640028715133667, 'Z': -0.03416851907968521}, {'X': 0.7687669992446899, 'Y': 0.6001886129379272, 'Z': -0.05015101656317711}, {'X': 0.8159142732620239, 'Y': 0.5675638318061829, 'Z': 0.018971584737300873}, {'X': 0.809773862361908, 'Y': 0.4612100124359131, 'Z': 0.011355196125805378}, {'X': 0.8014090657234192, 'Y': 0.40888357162475586, 'Z': -0.008197108283638954}, {'X': 0.7965172529220581, 'Y': 0.36048275232315063, 'Z': -0.022730864584445953}, {'X': 0.8564311861991882, 'Y': 0.5742826461791992, 'Z': -0.020610608160495758}, {'X': 0.8489967584609985, 'Y': 0.4632563292980194, 'Z': -0.03311343118548393}, {'X': 0.8364280462265015, 'Y': 0.4062996506690979, 'Z': -0.0431278757750988}, {'X': 0.8275360465049744, 'Y': 0.35469943284988403, 'Z': -0.04966442286968231}, {'X': 0.8988189697265625, 'Y': 0.601412296295166, 'Z': -0.061386946588754654}, {'X': 0.8964526057243347, 'Y': 0.5078092217445374, 'Z': -0.06371171772480011}, {'X': 0.8885066509246826, 'Y': 0.4557316303253174, 'Z': -0.06028042361140251}, {'X': 0.8800562024116516, 'Y': 0.40304213762283325, 'Z': -0.05746343731880188}]
[{'X': 0.8328688144683838, 'Y': 0.8138021230697632, 'Z': -7.226383604574949e-05}, {'X': 0.77060467004776, 'Y': 0.7505295872688293, 'Z': -0.010321005247533321}, {'X': 0.7229752540588379, 'Y': 0.649040162563324, 'Z': -0.01731918938457966}, {'X': 0.7076525688171387, 'Y': 0.5639042854309082, 'Z': -0.036962855607271194}, {'X': 0.7299942970275879, 'Y': 0.505893349647522, 'Z': -0.05092855542898178}, {'X': 0.7723923325538635, 'Y': 0.5833836793899536, 'Z': 0.03374774008989334}, {'X': 0.7587389349937439, 'Y': 0.5287589430809021, 'Z': -0.023749103769659996}, {'X': 0.7576327323913574, 'Y': 0.579823911190033, 'Z': -0.06327339261770248}, {'X': 0.7616333961486816, 'Y': 0.6218960881233215, 'Z': -0.07307431101799011}, {'X': 0.8103861212730408, 'Y': 0.5682740807533264, 'Z': 0.01063212938606739}, {'X': 0.8024980425834656, 'Y': 0.4591660797595978, 'Z': -0.0023286754731088877}, {'X': 0.7954554557800293, 'Y': 0.40348875522613525, 'Z': -0.020170843228697777}, {'X': 0.7873023152351379, 'Y': 0.35561561584472656, 'Z': -0.02928769402205944}, {'X': 0.8506002426147461, 'Y': 0.5744709372520447, 'Z': -0.021196873858571053}, {'X': 0.8420734405517578, 'Y': 0.4625425636768341, 'Z': -0.03607013821601868}, {'X': 0.8335673809051514, 'Y': 0.40538614988327026, 'Z': -0.04607338458299637}, {'X': 0.8233805298805237, 'Y': 0.35461586713790894, 'Z': -0.0507197305560112}, {'X': 0.892172634601593, 'Y': 0.5994399785995483, 'Z': -0.058023806661367416}, {'X': 0.8921557068824768, 'Y': 0.5088731646537781, 'Z': -0.06378807872533798}, {'X': 0.8865261077880859, 'Y': 0.4580574333667755, 'Z': -0.06467697024345398}, {'X': 0.876264750957489, 'Y': 0.4062469005584717, 'Z': -0.06481218338012695}]
[{'X': 0.8338623046875, 'Y': 0.8067058324813843, 'Z': -3.884549732902087e-05}, {'X': 0.769588053226471, 'Y': 0.7497090101242065, 'Z': -0.010989376343786716}, {'X': 0.722679853439331, 'Y': 0.6549132466316223, 'Z': -0.018340401351451874}, {'X': 0.7060140371322632, 'Y': 0.573703408241272, 'Z': -0.03985164314508438}, {'X': 0.7212876081466675, 'Y': 0.5061257481575012, 'Z': -0.05604993924498558}, {'X': 0.7667499780654907, 'Y': 0.5881662368774414, 'Z': 0.029807178303599358}, {'X': 0.7520732283592224, 'Y': 0.5370203256607056, 'Z': -0.02365826815366745}, {'X': 0.7530068755149841, 'Y': 0.5870261192321777, 'Z': -0.05589550361037254}, {'X': 0.7577533721923828, 'Y': 0.6313908100128174, 'Z': -0.06273261457681656}, {'X': 0.8049242496490479, 'Y': 0.5688557028770447, 'Z': 0.00908335205167532}, {'X': 0.7972821593284607, 'Y': 0.4634842276573181, 'Z': 0.002361874096095562}, {'X': 0.7918781042098999, 'Y': 0.4041510224342346, 'Z': -0.00891626626253128}, {'X': 0.7810617685317993, 'Y': 0.355435848236084, 'Z': -0.014414520934224129}, {'X': 0.8457815051078796, 'Y': 0.574079692363739, 'Z': -0.02128661423921585}, {'X': 0.8391663432121277, 'Y': 0.46190881729125977, 'Z': -0.024979518726468086}, {'X': 0.8309332728385925, 'Y': 0.4016835689544678, 'Z': -0.03019050881266594}, {'X': 0.8183965086936951, 'Y': 0.3510313630104065, 'Z': -0.035074200481176376}, {'X': 0.8881435394287109, 'Y': 0.5967028737068176, 'Z': -0.05694456771016121}, {'X': 0.8908290863037109, 'Y': 0.505017876625061, 'Z': -0.059003252536058426}, {'X': 0.8854923844337463, 'Y': 0.452048659324646, 'Z': -0.059385091066360474}, {'X': 0.8748065233230591, 'Y': 0.4016551077365875, 'Z': -0.062377579510211945}]
[{'X': 0.8397552967071533, 'Y': 0.824011504650116, 'Z': -9.188894182443619e-05}, {'X': 0.771976113319397, 'Y': 0.7587593793869019, 'Z': -0.02161833830177784}, {'X': 0.7212251424789429, 'Y': 0.6657297611236572, 'Z': -0.03882575407624245}, {'X': 0.704578697681427, 'Y': 0.584263026714325, 'Z': -0.0626228004693985}, {'X': 0.7279539704322815, 'Y': 0.5231991410255432, 'Z': -0.08134721219539642}, {'X': 0.7667251229286194, 'Y': 0.5969120264053345, 'Z': 0.02172168344259262}, {'X': 0.7513384222984314, 'Y': 0.5351045727729797, 'Z': -0.028928956016898155}, {'X': 0.7505814433097839, 'Y': 0.5779746770858765, 'Z': -0.075212761759758}, {'X': 0.7554029226303101, 'Y': 0.618725597858429, 'Z': -0.09509093314409256}, {'X': 0.8051925897598267, 'Y': 0.5776596665382385, 'Z': 0.0058719199150800705}, {'X': 0.7934603691101074, 'Y': 0.4705289304256439, 'Z': -0.0017066505970433354}, {'X': 0.7881811261177063, 'Y': 0.40747982263565063, 'Z': -0.025560075417160988}, {'X': 0.7806147336959839, 'Y': 0.35455140471458435, 'Z': -0.0436452254652977}, {'X': 0.8467346429824829, 'Y': 0.5811343193054199, 'Z': -0.020530475303530693}, {'X': 0.8362964987754822, 'Y': 0.46976327896118164, 'Z': -0.028418438509106636}, {'X': 0.8299970030784607, 'Y': 0.4081140160560608, 'Z': -0.040149398148059845}, {'X': 0.8219475746154785, 'Y': 0.3543575704097748, 'Z': -0.05250411108136177}, {'X': 0.890082597732544, 'Y': 0.6043523550033569, 'Z': -0.05202571302652359}, {'X': 0.8899224400520325, 'Y': 0.513111412525177, 'Z': -0.059149470180273056}, {'X': 0.8847682476043701, 'Y': 0.46115708351135254, 'Z': -0.0661042332649231}, {'X': 0.8754477500915527, 'Y': 0.40898773074150085, 'Z': -0.07210104167461395}]
[{'X': 0.8390141725540161, 'Y': 0.8271065354347229, 'Z': -6.891761586302891e-05}, {'X': 0.7725629806518555, 'Y': 0.7582253217697144, 'Z': -0.022077085450291634}, {'X': 0.7223151922225952, 'Y': 0.6625555753707886, 'Z': -0.039753980934619904}, {'X': 0.704350471496582, 'Y': 0.5820955634117126, 'Z': -0.06625377386808395}, {'X': 0.7240467071533203, 'Y': 0.5124934315681458, 'Z': -0.08744311332702637}, {'X': 0.771226167678833, 'Y': 0.5912488102912903, 'Z': 0.01230198796838522}, {'X': 0.7535014152526855, 'Y': 0.5349682569503784, 'Z': -0.04244985803961754}, {'X': 0.7516225576400757, 'Y': 0.5849734544754028, 'Z': -0.08301443606615067}, {'X': 0.7571175694465637, 'Y': 0.6295086145401001, 'Z': -0.09494549036026001}, {'X': 0.8088483214378357, 'Y': 0.5731232762336731, 'Z': -0.002854382386431098}, {'X': 0.7957897782325745, 'Y': 0.4650764465332031, 'Z': -0.009077129885554314}, {'X': 0.7878552079200745, 'Y': 0.4048682451248169, 'Z': -0.026658056303858757}, {'X': 0.7785676717758179, 'Y': 0.35431671142578125, 'Z': -0.03754575178027153}, {'X': 0.848074197769165, 'Y': 0.5777013301849365, 'Z': -0.028120826929807663}, {'X': 0.8348352313041687, 'Y': 0.46740469336509705, 'Z': -0.03358228877186775}, {'X': 0.8270715475082397, 'Y': 0.40768322348594666, 'Z': -0.04474419355392456}, {'X': 0.8165298700332642, 'Y': 0.3569665551185608, 'Z': -0.05376390367746353}, {'X': 0.888361394405365, 'Y': 0.6021116971969604, 'Z': -0.05935920774936676}, {'X': 0.8842833638191223, 'Y': 0.5102343559265137, 'Z': -0.061489563435316086}, {'X': 0.8777210712432861, 'Y': 0.45882874727249146, 'Z': -0.06645702570676804}, {'X': 0.8666507005691528, 'Y': 0.40864992141723633, 'Z': -0.07018241286277771}]
[{'X': 0.837773323059082, 'Y': 0.8253483772277832, 'Z': -5.08115699631162e-05}, {'X': 0.7709387540817261, 'Y': 0.7596213817596436, 'Z': -0.01798621192574501}, {'X': 0.7234774231910706, 'Y': 0.6580788493156433, 'Z': -0.03349151089787483}, {'X': 0.7088102102279663, 'Y': 0.573986291885376, 'Z': -0.05997588858008385}, {'X': 0.7303803563117981, 'Y': 0.5121590495109558, 'Z': -0.08223723620176315}, {'X': 0.7680757641792297, 'Y': 0.5855543613433838, 'Z': 0.014841503463685513}, {'X': 0.7514721751213074, 'Y': 0.5368427634239197, 'Z': -0.04062855988740921}, {'X': 0.7497601509094238, 'Y': 0.5872666239738464, 'Z': -0.07672735303640366}, {'X': 0.7544676661491394, 'Y': 0.629433274269104, 'Z': -0.08632209897041321}, {'X': 0.8070966601371765, 'Y': 0.5700871348381042, 'Z': -0.004829186946153641}, {'X': 0.7986319065093994, 'Y': 0.46206146478652954, 'Z': -0.015797780826687813}, {'X': 0.7940285205841064, 'Y': 0.4051532745361328, 'Z': -0.03336912766098976}, {'X': 0.7857725620269775, 'Y': 0.35780924558639526, 'Z': -0.04571923986077309}, {'X': 0.8471816778182983, 'Y': 0.5766255259513855, 'Z': -0.03424279764294624}, {'X': 0.8375871181488037, 'Y': 0.4636498689651489, 'Z': -0.044495340436697006}, {'X': 0.8309063911437988, 'Y': 0.40591922402381897, 'Z': -0.0587773323059082}, {'X': 0.8210069537162781, 'Y': 0.3561658263206482, 'Z': -0.07030820101499557}, {'X': 0.8885717391967773, 'Y': 0.6031969785690308, 'Z': -0.06887589395046234}, {'X': 0.8850328922271729, 'Y': 0.5115388035774231, 'Z': -0.07468754798173904}, {'X': 0.8788108229637146, 'Y': 0.46133145689964294, 'Z': -0.08271250128746033}, {'X': 0.8676329255104065, 'Y': 0.410651832818985, 'Z': -0.09100209921598434}]
[{'X': 0.8336079716682434, 'Y': 0.8291867971420288, 'Z': -0.00011593749513849616}, {'X': 0.7674448490142822, 'Y': 0.7582305669784546, 'Z': -0.012832105159759521}, {'X': 0.7183440923690796, 'Y': 0.6568666696548462, 'Z': -0.02686634473502636}, {'X': 0.7049775719642639, 'Y': 0.5693047642707825, 'Z': -0.04907282814383507}, {'X': 0.7358677387237549, 'Y': 0.5159717798233032, 'Z': -0.06881226599216461}, {'X': 0.7700024247169495, 'Y': 0.5923610925674438, 'Z': 0.025930991396307945}, {'X': 0.757282555103302, 'Y': 0.5359627604484558, 'Z': -0.026139091700315475}, {'X': 0.7560693025588989, 'Y': 0.5800852179527283, 'Z': -0.06939972937107086}, {'X': 0.7609630823135376, 'Y': 0.6164320707321167, 'Z': -0.0880497470498085}, {'X': 0.8089653849601746, 'Y': 0.576099693775177, 'Z': 0.005402380600571632}, {'X': 0.8012006878852844, 'Y': 0.4716377258300781, 'Z': -0.006859799847006798}, {'X': 0.7966095209121704, 'Y': 0.4116479754447937, 'Z': -0.03240438178181648}, {'X': 0.7918309569358826, 'Y': 0.3580288887023926, 'Z': -0.05159027874469757}, {'X': 0.8503813743591309, 'Y': 0.5817078948020935, 'Z': -0.024067644029855728}, {'X': 0.8408171534538269, 'Y': 0.47285714745521545, 'Z': -0.037856072187423706}, {'X': 0.8331844806671143, 'Y': 0.41117948293685913, 'Z': -0.05452035367488861}, {'X': 0.8249915838241577, 'Y': 0.35673755407333374, 'Z': -0.06954716145992279}, {'X': 0.8939880132675171, 'Y': 0.6077209711074829, 'Z': -0.05729861930012703}, {'X': 0.8926095962524414, 'Y': 0.5146128535270691, 'Z': -0.06408878415822983}, {'X': 0.8871822357177734, 'Y': 0.46126335859298706, 'Z': -0.07037582993507385}, {'X': 0.878722071647644, 'Y': 0.4084632396697998, 'Z': -0.07638860493898392}]
[{'X': 0.8355981111526489, 'Y': 0.8160234689712524, 'Z': -4.7672114305896685e-05}, {'X': 0.7706460952758789, 'Y': 0.7564992904663086, 'Z': -0.020501278340816498}, {'X': 0.7221068143844604, 'Y': 0.6564881205558777, 'Z': -0.039293404668569565}, {'X': 0.7052398920059204, 'Y': 0.5760512948036194, 'Z': -0.0699928030371666}, {'X': 0.7213737368583679, 'Y': 0.5104010701179504, 'Z': -0.09382842481136322}, {'X': 0.7659119963645935, 'Y': 0.581775426864624, 'Z': -0.006575171370059252}, {'X': 0.7455564737319946, 'Y': 0.5300083160400391, 'Z': -0.06274333596229553}, {'X': 0.7460418343544006, 'Y': 0.5815843939781189, 'Z': -0.08808828890323639}, {'X': 0.7537126541137695, 'Y': 0.6266141533851624, 'Z': -0.0894603505730629}, {'X': 0.805275022983551, 'Y': 0.5658987760543823, 'Z': -0.02676423452794552}, {'X': 0.7945460677146912, 'Y': 0.45537278056144714, 'Z': -0.04746256023645401}, {'X': 0.7880592942237854, 'Y': 0.3966129422187805, 'Z': -0.06643479317426682}, {'X': 0.7788763642311096, 'Y': 0.34796011447906494, 'Z': -0.07804953306913376}, {'X': 0.845920205116272, 'Y': 0.5750364661216736, 'Z': -0.05422699823975563}, {'X': 0.8359875082969666, 'Y': 0.46357178688049316, 'Z': -0.06908248364925385}, {'X': 0.8295177817344666, 'Y': 0.4028477072715759, 'Z': -0.0808890163898468}, {'X': 0.8198484182357788, 'Y': 0.3526572585105896, 'Z': -0.09011401981115341}, {'X': 0.8879372477531433, 'Y': 0.6030691862106323, 'Z': -0.08738880604505539}, {'X': 0.8834450244903564, 'Y': 0.5100111365318298, 'Z': -0.0965634360909462}, {'X': 0.8760010004043579, 'Y': 0.4580880403518677, 'Z': -0.10608875751495361}, {'X': 0.8639320731163025, 'Y': 0.40959155559539795, 'Z': -0.11397600919008255}]
