[{'X': 0.717735767364502, 'Y': 0.7315305471420288, 'Z': -0.0001402326743118465}, {'X': 0.6488844156265259, 'Y': 0.7202473878860474, 'Z': 0.012480496428906918}, {'X': 0.5983565449714661, 'Y': 0.6460740566253662, 'Z': 0.02594916708767414}, {'X': 0.5660297274589539, 'Y': 0.5882214307785034, 'Z': 0.030078571289777756}, {'X': 0.5392251014709473, 'Y': 0.5728258490562439, 'Z': 0.030102144926786423}, {'X': 0.6337330937385559, 'Y': 0.48415374755859375, 'Z': 0.06748384982347488}, {'X': 0.6139962673187256, 'Y': 0.3886406421661377, 'Z': 0.07161349803209305}, {'X': 0.6026408076286316, 'Y': 0.32559484243392944, 'Z': 0.05800327658653259}, {'X': 0.5929793119430542, 'Y': 0.2700726091861725, 'Z': 0.04322291165590286}, {'X': 0.6664327383041382, 'Y': 0.4571624994277954, 'Z': 0.045490119606256485}, {'X': 0.6493159532546997, 'Y': 0.3428821265697479, 'Z': 0.05443090945482254}, {'X': 0.6354870796203613, 'Y': 0.2640773355960846, 'Z': 0.03614068403840065}, {'X': 0.6242372989654541, 'Y': 0.19565662741661072, 'Z': 0.021640075370669365}, {'X': 0.702924907207489, 'Y': 0.45172518491744995, 'Z': 0.018329717218875885}, {'X': 0.6893351078033447, 'Y': 0.33548659086227417, 'Z': 0.021169980987906456}, {'X': 0.677361249923706, 'Y': 0.2617059350013733, 'Z': 0.0027095030527561903}, {'X': 0.6673440933227539, 'Y': 0.19417664408683777, 'Z': -0.00976386945694685}, {'X': 0.7431193590164185, 'Y': 0.4690530002117157, 'Z': -0.010695403441786766}, {'X': 0.7443654537200928, 'Y': 0.37808555364608765, 'Z': -0.014804856851696968}, {'X': 0.7436175346374512, 'Y': 0.31708648800849915, 'Z': -0.02621334232389927}, {'X': 0.7408167719841003, 'Y': 0.2562794089317322, 'Z': -0.035140760242938995}]
[{'X': 0.7162662744522095, 'Y': 0.7473480701446533, 'Z': -9.816676174523309e-05}, {'X': 0.6451072096824646, 'Y': 0.7157458066940308, 'Z': 0.011968146078288555}, {'X': 0.5949324369430542, 'Y': 0.6366755962371826, 'Z': 0.01563665270805359}, {'X': 0.5588870048522949, 'Y': 0.5847295522689819, 'Z': 0.005579527001827955}, {'X': 0.5315945148468018, 'Y': 0.5467280745506287, 'Z': -0.01711818017065525}, {'X': 0.6334074139595032, 'Y': 0.5012792348861694, 'Z': 0.034300174564123154}, {'X': 0.61800616979599, 'Y': 0.394159734249115, 'Z': 0.02200959250330925}, {'X': 0.6102136373519897, 'Y': 0.3273758590221405, 'Z': 0.012375575490295887}, {'X': 0.6015579700469971, 'Y': 0.2631914019584656, 'Z': 0.009462254121899605}, {'X': 0.6659375429153442, 'Y': 0.48865681886672974, 'Z': 0.00470469007268548}, {'X': 0.6556301116943359, 'Y': 0.3596349358558655, 'Z': -0.013385794125497341}, {'X': 0.6388770937919617, 'Y': 0.2829793393611908, 'Z': -0.03162197396159172}, {'X': 0.6230888366699219, 'Y': 0.21488630771636963, 'Z': -0.04061824083328247}, {'X': 0.701535701751709, 'Y': 0.49930381774902344, 'Z': -0.02788657508790493}, {'X': 0.6885813474655151, 'Y': 0.3846811056137085, 'Z': -0.056244298815727234}, {'X': 0.6627520322799683, 'Y': 0.32980069518089294, 'Z': -0.07722176611423492}, {'X': 0.6404242515563965, 'Y': 0.2823280692100525, 'Z': -0.0852058082818985}, {'X': 0.7377259135246277, 'Y': 0.5317857265472412, 'Z': -0.06043454632163048}, {'X': 0.7175526022911072, 'Y': 0.47355225682258606, 'Z': -0.10506182909011841}, {'X': 0.6833202838897705, 'Y': 0.4998198449611664, 'Z': -0.12565961480140686}, {'X': 0.6523507833480835, 'Y': 0.535548746585846, 'Z': -0.13500963151454926}]
[{'X': 0.7199294567108154, 'Y': 0.74424147605896, 'Z': -7.436235318891704e-05}, {'X': 0.6511425375938416, 'Y': 0.7095990777015686, 'Z': 0.004341632593423128}, {'X': 0.5980427265167236, 'Y': 0.6247673034667969, 'Z': -0.00041955107008107007}, {'X': 0.5554274916648865, 'Y': 0.5775063037872314, 'Z': -0.015780989080667496}, {'X': 0.5256749391555786, 'Y': 0.548264741897583, 'Z': -0.043564703315496445}, {'X': 0.6347095370292664, 'Y': 0.49606943130493164, 'Z': -0.0008898113737814128}, {'X': 0.6192861795425415, 'Y': 0.39159196615219116, 'Z': -0.019742639735341072}, {'X': 0.6114209294319153, 'Y': 0.3269306719303131, 'Z': -0.028627455234527588}, {'X': 0.6020622253417969, 'Y': 0.26683780550956726, 'Z': -0.029572559520602226}, {'X': 0.6690662503242493, 'Y': 0.4843579828739166, 'Z': -0.029299892485141754}, {'X': 0.6545485258102417, 'Y': 0.35630378127098083, 'Z': -0.05590302497148514}, {'X': 0.6384537816047668, 'Y': 0.2817118167877197, 'Z': -0.07233148068189621}, {'X': 0.6218007802963257, 'Y': 0.2143658995628357, 'Z': -0.0819857269525528}, {'X': 0.706501305103302, 'Y': 0.4992139935493469, 'Z': -0.05957893654704094}, {'X': 0.6887089014053345, 'Y': 0.3878275156021118, 'Z': -0.09940648078918457}, {'X': 0.6610972881317139, 'Y': 0.3384813070297241, 'Z': -0.12159036844968796}, {'X': 0.6357177495956421, 'Y': 0.29771944880485535, 'Z': -0.1298368275165558}, {'X': 0.741801381111145, 'Y': 0.5376415252685547, 'Z': -0.08920127153396606}, {'X': 0.715416669845581, 'Y': 0.49461829662323, 'Z': -0.13664643466472626}, {'X': 0.6805351376533508, 'Y': 0.531691312789917, 'Z': -0.15540923178195953}, {'X': 0.6489850282669067, 'Y': 0.5734453797340393, 'Z': -0.1654350608587265}]
[{'X': 0.7144003510475159, 'Y': 0.7436352968215942, 'Z': -0.00010113658208865672}, {'X': 0.6560910940170288, 'Y': 0.7151495218276978, 'Z': 0.011288895271718502}, {'X': 0.6038699746131897, 'Y': 0.619083046913147, 'Z': 0.014584184624254704}, {'X': 0.5620396733283997, 'Y': 0.5644643306732178, 'Z': 0.005093917716294527}, {'X': 0.5301653146743774, 'Y': 0.5442517399787903, 'Z': -0.019202787429094315}, {'X': 0.644589900970459, 'Y': 0.4766669273376465, 'Z': 0.024954311549663544}, {'X': 0.6330204010009766, 'Y': 0.37296611070632935, 'Z': 0.014453934505581856}, {'X': 0.6205742359161377, 'Y': 0.31967806816101074, 'Z': 0.01052207313477993}, {'X': 0.6066051125526428, 'Y': 0.27321431040763855, 'Z': 0.01102876104414463}, {'X': 0.6792464256286621, 'Y': 0.46328461170196533, 'Z': -0.007319044787436724}, {'X': 0.6642201542854309, 'Y': 0.3433009386062622, 'Z': -0.018166637048125267}, {'X': 0.6406576633453369, 'Y': 0.27856793999671936, 'Z': -0.024649064987897873}, {'X': 0.6216889023780823, 'Y': 0.22389915585517883, 'Z': -0.028317702934145927}, {'X': 0.7154428958892822, 'Y': 0.4855450391769409, 'Z': -0.042149703949689865}, {'X': 0.693331778049469, 'Y': 0.38137388229370117, 'Z': -0.07561752200126648}, {'X': 0.6559197902679443, 'Y': 0.3600732684135437, 'Z': -0.09926271438598633}, {'X': 0.6273028254508972, 'Y': 0.34577569365501404, 'Z': -0.10574696958065033}, {'X': 0.7477326989173889, 'Y': 0.5303910374641418, 'Z': -0.07537835836410522}, {'X': 0.7163141369819641, 'Y': 0.49842917919158936, 'Z': -0.12772734463214874}, {'X': 0.6848408579826355, 'Y': 0.5532829165458679, 'Z': -0.14617133140563965}, {'X': 0.6624348163604736, 'Y': 0.605629026889801, 'Z': -0.1515573263168335}]
[{'X': 0.7162708640098572, 'Y': 0.735436201095581, 'Z': -0.00011108382750535384}, {'X': 0.6510587930679321, 'Y': 0.7108738422393799, 'Z': 0.01471267081797123}, {'X': 0.600359320640564, 'Y': 0.6229260563850403, 'Z': 0.025155669078230858}, {'X': 0.5607254505157471, 'Y': 0.5674128532409668, 'Z': 0.022449664771556854}, {'X': 0.5296463966369629, 'Y': 0.5436729788780212, 'Z': 0.007102438248693943}, {'X': 0.6452950239181519, 'Y': 0.4903854727745056, 'Z': 0.038968298584222794}, {'X': 0.6310905814170837, 'Y': 0.38347896933555603, 'Z': 0.032962121069431305}, {'X': 0.6188742518424988, 'Y': 0.3286665380001068, 'Z': 0.02887296862900257}, {'X': 0.6053897142410278, 'Y': 0.2794637680053711, 'Z': 0.03116856887936592}, {'X': 0.6789169311523438, 'Y': 0.4752354919910431, 'Z': 0.008780651725828648}, {'X': 0.6664955019950867, 'Y': 0.34995996952056885, 'Z': -0.0028899102471768856}, {'X': 0.6425885558128357, 'Y': 0.28693968057632446, 'Z': -0.010688346810638905}, {'X': 0.6253548860549927, 'Y': 0.23528414964675903, 'Z': -0.011989929713308811}, {'X': 0.7139072418212891, 'Y': 0.49365413188934326, 'Z': -0.024730203673243523}, {'X': 0.6893258094787598, 'Y': 0.3851153552532196, 'Z': -0.059443067759275436}, {'X': 0.646190345287323, 'Y': 0.3796411454677582, 'Z': -0.08205702155828476}, {'X': 0.6123074889183044, 'Y': 0.38342952728271484, 'Z': -0.08549296110868454}, {'X': 0.7458510398864746, 'Y': 0.5319706797599792, 'Z': -0.05671755596995354}, {'X': 0.7139952778816223, 'Y': 0.4904547929763794, 'Z': -0.11060117930173874}, {'X': 0.6813784837722778, 'Y': 0.5447662472724915, 'Z': -0.1268799751996994}, {'X': 0.6589312553405762, 'Y': 0.5999316573143005, 'Z': -0.1292458027601242}]
[{'X': 0.7249993085861206, 'Y': 0.739270031452179, 'Z': -0.0001140845415648073}, {'X': 0.6535494327545166, 'Y': 0.7128106355667114, 'Z': 0.014936093240976334}, {'X': 0.5994945764541626, 'Y': 0.6270730495452881, 'Z': 0.029194442555308342}, {'X': 0.5578758716583252, 'Y': 0.5692397356033325, 'Z': 0.028950965031981468}, {'X': 0.5284539461135864, 'Y': 0.5366848707199097, 'Z': 0.014477980323135853}, {'X': 0.6462604403495789, 'Y': 0.49207544326782227, 'Z': 0.0441373847424984}, {'X': 0.6306485533714294, 'Y': 0.3903672397136688, 'Z': 0.038469940423965454}, {'X': 0.6195608973503113, 'Y': 0.3361246585845947, 'Z': 0.03571496531367302}, {'X': 0.605938732624054, 'Y': 0.2842421233654022, 'Z': 0.04179617390036583}, {'X': 0.6796042919158936, 'Y': 0.47590890526771545, 'Z': 0.014065525494515896}, {'X': 0.6666126251220703, 'Y': 0.3545756936073303, 'Z': 0.0049522025510668755}, {'X': 0.6436574459075928, 'Y': 0.2921730875968933, 'Z': 0.00023173546651378274}, {'X': 0.6254714727401733, 'Y': 0.23830941319465637, 'Z': 0.0006565137882716954}, {'X': 0.7142361402511597, 'Y': 0.491962194442749, 'Z': -0.0198652446269989}, {'X': 0.687894880771637, 'Y': 0.3855472207069397, 'Z': -0.05411716550588608}, {'X': 0.646073043346405, 'Y': 0.3804163932800293, 'Z': -0.07456491142511368}, {'X': 0.6124266982078552, 'Y': 0.3823443055152893, 'Z': -0.07573440670967102}, {'X': 0.7459841370582581, 'Y': 0.5261883735656738, 'Z': -0.05255545675754547}, {'X': 0.7116285562515259, 'Y': 0.49335598945617676, 'Z': -0.10525087267160416}, {'X': 0.6798221468925476, 'Y': 0.5599714517593384, 'Z': -0.11887690424919128}, {'X': 0.6583239436149597, 'Y': 0.6227377653121948, 'Z': -0.11948065459728241}]
[{'X': 0.7157978415489197, 'Y': 0.7242873907089233, 'Z': -0.00013207779556978494}, {'X': 0.6540818214416504, 'Y': 0.7045303583145142, 'Z': 0.01232993695884943}, {'X': 0.6039600372314453, 'Y': 0.6181676387786865, 'Z': 0.02210017293691635}, {'X': 0.5636246204376221, 'Y': 0.5628426671028137, 'Z': 0.020872129127383232}, {'X': 0.5328253507614136, 'Y': 0.5370707511901855, 'Z': 0.006449270527809858}, {'X': 0.6482973694801331, 'Y': 0.49372968077659607, 'Z': 0.031454820185899734}, {'X': 0.6369597911834717, 'Y': 0.38235509395599365, 'Z': 0.026841573417186737}, {'X': 0.6229661107063293, 'Y': 0.3297370970249176, 'Z': 0.024705132469534874}, {'X': 0.6086874008178711, 'Y': 0.282487690448761, 'Z': 0.03261527791619301}, {'X': 0.682025134563446, 'Y': 0.4783487915992737, 'Z': 0.003451466327533126}, {'X': 0.6697527170181274, 'Y': 0.3516448736190796, 'Z': -0.009024945087730885}, {'X': 0.6459571719169617, 'Y': 0.2880130410194397, 'Z': -0.009751621633768082}, {'X': 0.6294940710067749, 'Y': 0.23265737295150757, 'Z': -0.004200710449367762}, {'X': 0.716637372970581, 'Y': 0.49689748883247375, 'Z': -0.027472754940390587}, {'X': 0.6890974044799805, 'Y': 0.38642987608909607, 'Z': -0.06412323564291}, {'X': 0.6480507254600525, 'Y': 0.3774559199810028, 'Z': -0.0843571275472641}, {'X': 0.6173363924026489, 'Y': 0.3773135542869568, 'Z': -0.0846681147813797}, {'X': 0.74642413854599, 'Y': 0.5332155227661133, 'Z': -0.057614292949438095}, {'X': 0.7082151174545288, 'Y': 0.5041406750679016, 'Z': -0.10883250832557678}, {'X': 0.680199921131134, 'Y': 0.5716025829315186, 'Z': -0.1169709861278534}, {'X': 0.6651086807250977, 'Y': 0.6338688135147095, 'Z': -0.11329343914985657}]
[{'X': 0.7186678051948547, 'Y': 0.72381991147995, 'Z': -0.00011635618284344673}, {'X': 0.6520375609397888, 'Y': 0.7065538167953491, 'Z': 0.014974099583923817}, {'X': 0.6018052101135254, 'Y': 0.6292495131492615, 'Z': 0.02832518145442009}, {'X': 0.5630408525466919, 'Y': 0.5737027525901794, 'Z': 0.027682466432452202}, {'X': 0.5358293056488037, 'Y': 0.54017573595047, 'Z': 0.015343924053013325}, {'X': 0.6462682485580444, 'Y': 0.5000672340393066, 'Z': 0.04628657549619675}, {'X': 0.6335846185684204, 'Y': 0.39087098836898804, 'Z': 0.04324684292078018}, {'X': 0.6198317408561707, 'Y': 0.3389246463775635, 'Z': 0.041198693215847015}, {'X': 0.6062622666358948, 'Y': 0.29115715622901917, 'Z': 0.0471406988799572}, {'X': 0.678563117980957, 'Y': 0.4826841950416565, 'Z': 0.017060574144124985}, {'X': 0.6695691347122192, 'Y': 0.3550164997577667, 'Z': 0.010492810979485512}, {'X': 0.6473931670188904, 'Y': 0.2916005253791809, 'Z': 0.008116514421999454}, {'X': 0.6334102153778076, 'Y': 0.23803260922431946, 'Z': 0.012764942832291126}, {'X': 0.7122275829315186, 'Y': 0.49804624915122986, 'Z': -0.015563569031655788}, {'X': 0.687679648399353, 'Y': 0.3903171420097351, 'Z': -0.048364702612161636}, {'X': 0.6448220610618591, 'Y': 0.39217057824134827, 'Z': -0.06675004959106445}, {'X': 0.6124263405799866, 'Y': 0.40293198823928833, 'Z': -0.06648705899715424}, {'X': 0.7420015931129456, 'Y': 0.5316051244735718, 'Z': -0.048225995153188705}, {'X': 0.7098299264907837, 'Y': 0.4987233877182007, 'Z': -0.09884235262870789}, {'X': 0.6799008250236511, 'Y': 0.5650838613510132, 'Z': -0.10896079242229462}, {'X': 0.6609784364700317, 'Y': 0.6288779973983765, 'Z': -0.10677120089530945}]
[{'X': 0.7157508134841919, 'Y': 0.715287446975708, 'Z': -0.00014573750377167016}, {'X': 0.6550918817520142, 'Y': 0.7002967000007629, 'Z': 0.013237208127975464}, {'X': 0.605525016784668, 'Y': 0.6174818873405457, 'Z': 0.025112373754382133}, {'X': 0.564873993396759, 'Y': 0.5612196326255798, 'Z': 0.025605954229831696}, {'X': 0.5345773100852966, 'Y': 0.5408989787101746, 'Z': 0.013419239781796932}, {'X': 0.6456233859062195, 'Y': 0.4878354072570801, 'Z': 0.04542011395096779}, {'X': 0.6340068578720093, 'Y': 0.38375502824783325, 'Z': 0.042980827391147614}, {'X': 0.6214556097984314, 'Y': 0.33593258261680603, 'Z': 0.04339610040187836}, {'X': 0.6087458729743958, 'Y': 0.2927002012729645, 'Z': 0.053272657096385956}, {'X': 0.67977374792099, 'Y': 0.4683103561401367, 'Z': 0.018060965463519096}, {'X': 0.6681361198425293, 'Y': 0.34634432196617126, 'Z': 0.016180168837308884}, {'X': 0.6457400918006897, 'Y': 0.2825982868671417, 'Z': 0.0223701074719429}, {'X': 0.6303066611289978, 'Y': 0.2291976809501648, 'Z': 0.034368276596069336}, {'X': 0.713767409324646, 'Y': 0.48329272866249084, 'Z': -0.01303781382739544}, {'X': 0.6849420070648193, 'Y': 0.3781673312187195, 'Z': -0.04293904826045036}, {'X': 0.644401490688324, 'Y': 0.3805072009563446, 'Z': -0.05928688868880272}, {'X': 0.6142815351486206, 'Y': 0.3908272087574005, 'Z': -0.053416017442941666}, {'X': 0.7436303496360779, 'Y': 0.5151857733726501, 'Z': -0.0437164232134819}, {'X': 0.7061439752578735, 'Y': 0.49801361560821533, 'Z': -0.09064964950084686}, {'X': 0.6834288239479065, 'Y': 0.5731986165046692, 'Z': -0.09726253896951675}, {'X': 0.6720450520515442, 'Y': 0.6409616470336914, 'Z': -0.08894412964582443}]
[{'X': 0.7136417031288147, 'Y': 0.7225471138954163, 'Z': -0.00011557607649592683}, {'X': 0.6511946320533752, 'Y': 0.7054343819618225, 'Z': 0.010815709829330444}, {'X': 0.6016134023666382, 'Y': 0.6259408593177795, 'Z': 0.02124275267124176}, {'X': 0.5632616877555847, 'Y': 0.57188481092453, 'Z': 0.018052734434604645}, {'X': 0.5353876352310181, 'Y': 0.5396299958229065, 'Z': 0.002780844923108816}, {'X': 0.6462134122848511, 'Y': 0.5001299977302551, 'Z': 0.031776491552591324}, {'X': 0.6357994079589844, 'Y': 0.3903084695339203, 'Z': 0.027495261281728745}, {'X': 0.6214886903762817, 'Y': 0.33939120173454285, 'Z': 0.02519889734685421}, {'X': 0.607864260673523, 'Y': 0.29461127519607544, 'Z': 0.03197047486901283}, {'X': 0.6776584386825562, 'Y': 0.48368462920188904, 'Z': 0.004930093418806791}, {'X': 0.6687137484550476, 'Y': 0.3574830889701843, 'Z': -0.007428265642374754}, {'X': 0.6445072889328003, 'Y': 0.2979144752025604, 'Z': -0.009736549109220505}, {'X': 0.6295677423477173, 'Y': 0.2484058141708374, 'Z': -0.004322350025177002}, {'X': 0.7104936242103577, 'Y': 0.4982335567474365, 'Z': -0.024292949587106705}, {'X': 0.6877838969230652, 'Y': 0.3904792368412018, 'Z': -0.0601971261203289}, {'X': 0.6466955542564392, 'Y': 0.3876587152481079, 'Z': -0.07739366590976715}, {'X': 0.6161419749259949, 'Y': 0.3931698799133301, 'Z': -0.07565025985240936}, {'X': 0.7392781376838684, 'Y': 0.5313370823860168, 'Z': -0.05348449572920799}, {'X': 0.7084900736808777, 'Y': 0.4962295591831207, 'Z': -0.10298846662044525}, {'X': 0.6793054342269897, 'Y': 0.5592443346977234, 'Z': -0.10947053134441376}, {'X': 0.6606992483139038, 'Y': 0.6186255812644958, 'Z': -0.10546152293682098}]
[{'X': 0.7166745662689209, 'Y': 0.7244502902030945, 'Z': -0.00013301307626534253}, {'X': 0.6499270796775818, 'Y': 0.7035804986953735, 'Z': 0.014468248002231121}, {'X': 0.6001895070075989, 'Y': 0.626335620880127, 'Z': 0.030297501012682915}, {'X': 0.5628764033317566, 'Y': 0.5699986219406128, 'Z': 0.03221837803721428}, {'X': 0.5374016165733337, 'Y': 0.5359321236610413, 'Z': 0.022507138550281525}, {'X': 0.6437963843345642, 'Y': 0.5035271048545837, 'Z': 0.04634493961930275}, {'X': 0.6319576501846313, 'Y': 0.3914726972579956, 'Z': 0.04619811102747917}, {'X': 0.6184382438659668, 'Y': 0.3387376070022583, 'Z': 0.04430652782320976}, {'X': 0.6051476001739502, 'Y': 0.2921886742115021, 'Z': 0.05156507343053818}, {'X': 0.6750962138175964, 'Y': 0.4877041280269623, 'Z': 0.019284535199403763}, {'X': 0.6672568917274475, 'Y': 0.3573303818702698, 'Z': 0.01184474490582943}, {'X': 0.646018385887146, 'Y': 0.2946292757987976, 'Z': 0.008367225527763367}, {'X': 0.6332796216011047, 'Y': 0.2440301775932312, 'Z': 0.013237394392490387}, {'X': 0.7080651521682739, 'Y': 0.5006870031356812, 'Z': -0.01056207437068224}, {'X': 0.6861605048179626, 'Y': 0.3898809850215912, 'Z': -0.04327554628252983}, {'X': 0.6465477347373962, 'Y': 0.3921452760696411, 'Z': -0.06275331974029541}, {'X': 0.6170920729637146, 'Y': 0.4057565927505493, 'Z': -0.06249576434493065}, {'X': 0.7373616099357605, 'Y': 0.5294334292411804, 'Z': -0.04009323939681053}, {'X': 0.7080599069595337, 'Y': 0.49071425199508667, 'Z': -0.09013284742832184}, {'X': 0.6801302433013916, 'Y': 0.5551405549049377, 'Z': -0.0996570959687233}, {'X': 0.6625043749809265, 'Y': 0.6193372011184692, 'Z': -0.0968535840511322}]
[{'X': 0.7197477221488953, 'Y': 0.7359274625778198, 'Z': -9.790549665922299e-05}, {'X': 0.6555246114730835, 'Y': 0.7095979452133179, 'Z': 0.007381788920611143}, {'X': 0.6058647036552429, 'Y': 0.6241533756256104, 'Z': 0.011507813818752766}, {'X': 0.5687589049339294, 'Y': 0.5727120637893677, 'Z': 0.007255228236317635}, {'X': 0.5381678938865662, 'Y': 0.5404114127159119, 'Z': -0.00810208823531866}, {'X': 0.6469457745552063, 'Y': 0.49668624997138977, 'Z': 0.018902836367487907}, {'X': 0.6375446319580078, 'Y': 0.38389402627944946, 'Z': 0.0072492510080337524}, {'X': 0.6240473985671997, 'Y': 0.3262577950954437, 'Z': 0.0006868255441077054}, {'X': 0.6099244952201843, 'Y': 0.2784796357154846, 'Z': 0.0052233533933758736}, {'X': 0.6781394481658936, 'Y': 0.485944926738739, 'Z': -0.007237222045660019}, {'X': 0.6686159372329712, 'Y': 0.3558462858200073, 'Z': -0.032683152705430984}, {'X': 0.6455060243606567, 'Y': 0.29793187975883484, 'Z': -0.04501067474484444}, {'X': 0.6285467147827148, 'Y': 0.25593000650405884, 'Z': -0.047226812690496445}, {'X': 0.7120680212974548, 'Y': 0.5021316409111023, 'Z': -0.03564854711294174}, {'X': 0.6908934116363525, 'Y': 0.3911319375038147, 'Z': -0.07674293965101242}, {'X': 0.6545941829681396, 'Y': 0.3835606575012207, 'Z': -0.10137155652046204}, {'X': 0.6268259882926941, 'Y': 0.3909156918525696, 'Z': -0.11078235507011414}, {'X': 0.7439284920692444, 'Y': 0.5365642309188843, 'Z': -0.06340453773736954}, {'X': 0.7161132097244263, 'Y': 0.49488896131515503, 'Z': -0.11554796993732452}, {'X': 0.6891619563102722, 'Y': 0.5556516647338867, 'Z': -0.1298162341117859}, {'X': 0.67083340883255, 'Y': 0.6165302991867065, 'Z': -0.13665419816970825}]
[{'X': 0.7103227972984314, 'Y': 0.7233924269676208, 'Z': -9.926095663104206e-05}, {'X': 0.6479455232620239, 'Y': 0.6984472274780273, 'Z': 0.02352188527584076}, {'X': 0.6027225852012634, 'Y': 0.6187354326248169, 'Z': 0.03291594982147217}, {'X': 0.5710949897766113, 'Y': 0.5718955397605896, 'Z': 0.029268626123666763}, {'X': 0.5422705411911011, 'Y': 0.5524554252624512, 'Z': 0.019139794632792473}, {'X': 0.6357101202011108, 'Y': 0.5197369456291199, 'Z': 0.026663267984986305}, {'X': 0.6282992362976074, 'Y': 0.3981207013130188, 'Z': 0.023711638525128365}, {'X': 0.6163880825042725, 'Y': 0.3431468904018402, 'Z': 0.023560170084238052}, {'X': 0.605999231338501, 'Y': 0.30597057938575745, 'Z': 0.030665794387459755}, {'X': 0.6673627495765686, 'Y': 0.5192973613739014, 'Z': 0.001957925967872143}, {'X': 0.6666987538337708, 'Y': 0.38217049837112427, 'Z': -0.012124926783144474}, {'X': 0.6544850468635559, 'Y': 0.31592363119125366, 'Z': -0.020213836804032326}, {'X': 0.642223596572876, 'Y': 0.2663775384426117, 'Z': -0.015734869986772537}, {'X': 0.6997147798538208, 'Y': 0.5426300764083862, 'Z': -0.02212263084948063}, {'X': 0.6947163343429565, 'Y': 0.44583767652511597, 'Z': -0.05710792541503906}, {'X': 0.6811864376068115, 'Y': 0.45168203115463257, 'Z': -0.09058243781328201}, {'X': 0.6689469814300537, 'Y': 0.4666405916213989, 'Z': -0.10491010546684265}, {'X': 0.7252473831176758, 'Y': 0.5804371237754822, 'Z': -0.04396425187587738}, {'X': 0.719572901725769, 'Y': 0.5122254490852356, 'Z': -0.08614648878574371}, {'X': 0.7089296579360962, 'Y': 0.5259017944335938, 'Z': -0.11450757831335068}, {'X': 0.695800244808197, 'Y': 0.5539243817329407, 'Z': -0.1292809396982193}]
[{'X': 0.7131409049034119, 'Y': 0.734832763671875, 'Z': -0.00011170614743605256}, {'X': 0.6455522179603577, 'Y': 0.7123122811317444, 'Z': 0.03116612322628498}, {'X': 0.6023495197296143, 'Y': 0.6303778290748596, 'Z': 0.04518720135092735}, {'X': 0.5752807855606079, 'Y': 0.5814284086227417, 'Z': 0.04518941789865494}, {'X': 0.5527276396751404, 'Y': 0.5581237077713013, 'Z': 0.034456558525562286}, {'X': 0.6350454092025757, 'Y': 0.5167095065116882, 'Z': 0.049468960613012314}, {'X': 0.6229221820831299, 'Y': 0.408077597618103, 'Z': 0.05445674806833267}, {'X': 0.6137688755989075, 'Y': 0.34686532616615295, 'Z': 0.053314659744501114}, {'X': 0.6040968894958496, 'Y': 0.3016456663608551, 'Z': 0.054204486310482025}, {'X': 0.6648898720741272, 'Y': 0.5116577744483948, 'Z': 0.019919728860259056}, {'X': 0.6640462875366211, 'Y': 0.3855306804180145, 'Z': 0.013679641298949718}, {'X': 0.6526345610618591, 'Y': 0.3226340115070343, 'Z': 0.003924245480448008}, {'X': 0.6400375962257385, 'Y': 0.28579989075660706, 'Z': 0.003337099449709058}, {'X': 0.6976081728935242, 'Y': 0.5255902409553528, 'Z': -0.010006548836827278}, {'X': 0.6927922964096069, 'Y': 0.4189279079437256, 'Z': -0.03412994369864464}, {'X': 0.6771837472915649, 'Y': 0.36521872878074646, 'Z': -0.06104092672467232}, {'X': 0.6624807119369507, 'Y': 0.3300463557243347, 'Z': -0.07440611720085144}, {'X': 0.7273074388504028, 'Y': 0.5553579926490784, 'Z': -0.037461549043655396}, {'X': 0.715779721736908, 'Y': 0.5010248422622681, 'Z': -0.07545508444309235}, {'X': 0.6981257200241089, 'Y': 0.4978569746017456, 'Z': -0.10273656994104385}, {'X': 0.6780548095703125, 'Y': 0.5084342360496521, 'Z': -0.11823687702417374}]
